time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9009,0.5478,813.0520,-0.0409
1,0.50,0.9560,0.3065,822.1150,-0.0125
2,0.50,0.9711,0.2449,833.3939,0.0172
3,0.50,0.9695,0.2507,821.6292,0.0601
4,0.50,0.9765,0.2195,812.1796,0.0299
5,0.50,0.9769,0.2169,815.8429,0.0436
6,0.50,0.9758,0.2231,835.8796,0.0092
7,0.50,0.9765,0.2198,835.2354,0.0125
8,0.50,0.9765,0.2198,835.2354,0.0125
9,0.50,0.9765,0.2198,835.2354,0.0125
10,0.50,0.9765,0.2198,835.2354,0.0125
11,0.50,0.9765,0.2198,835.2354,0.0125
12,0.50,0.9765,0.2198,835.2354,0.0125
13,0.50,0.9765,0.2198,835.2354,0.0125
14,0.50,0.9765,0.2198,835.2354,0.0125
15,0.50,0.9765,0.2198,835.2354,0.0125
16,0.50,0.9765,0.2198,835.2354,0.0125
17,0.50,0.9765,0.2198,835.2354,0.0125
18,0.50,0.9765,0.2198,835.2354,0.0125
19,0.50,0.9765,0.2198,835.2354,0.0125
20,0.50,0.9765,0.2198,835.2354,0.0125
21,0.50,0.9765,0.2198,835.2354,0.0125
22,0.50,0.9765,0.2198,835.2354,0.0125
23,0.50,0.9765,0.2198,835.2354,0.0125
24,0.50,0.9765,0.2198,835.2354,0.0125
25,0.50,0.9765,0.2198,835.2354,0.0125
26,0.50,0.9765,0.2198,835.2354,0.0125
27,0.50,0.9765,0.2198,835.2354,0.0125
28,0.50,0.9765,0.2198,835.2354,0.0125
29,0.50,0.9765,0.2198,835.2354,0.0125
